00:10:01  sda (8-0)     0%    0.00    0.0      0.06    6.2   1.02   6.05 ms
00:20:01  sda (8-0)     0%    0.00    0.0      0.06    5.3   1.02   6.27 ms
00:30:01  sda (8-0)     0%    0.00    0.0      0.05    5.6   1.02   6.27 ms
00:40:01  sda (8-0)     0%    0.00    0.0      0.06    5.7   1.03   6.97 ms
00:50:01  sda (8-0)     0%    0.00    0.0      0.05    5.6   1.02   6.00 ms
01:00:01  sda (8-0)     0%    0.00    0.0      0.05    5.7   1.02   6.19 ms
01:10:01  sda (8-0)     0%    0.00    0.0      0.07    6.2   1.38   7.60 ms
01:20:01  sda (8-0)     0%    0.00    0.0      0.06    5.7   1.03   6.74 ms
01:30:02  sda (8-0)     0%    0.00    0.0      0.05    5.7   1.00   5.73 ms
01:40:01  sda (8-0)     0%    0.00    0.0      0.07    5.9   1.01   6.18 ms
01:50:01  sda (8-0)     0%    0.00    0.0      0.05    6.1   1.04   6.58 ms
02:00:01  sda (8-0)     0%    0.00    0.0      0.05    6.1   1.00   5.10 ms
02:10:01  sda (8-0)     0%    0.00    0.0      0.06    6.1   1.00   5.03 ms
02:20:01  sda (8-0)     0%    0.00    0.0      0.05    6.1   1.04   6.06 ms
02:30:01  sda (8-0)     0%    0.00    0.0      0.05    6.1   1.00   5.24 ms
02:40:01  sda (8-0)     0%    0.00    0.0      0.06    5.9   1.00   5.37 ms
02:50:01  sda (8-0)     0%    0.00    0.0      0.05    5.9   1.00   5.47 ms
03:00:01  sda (8-0)     0%    0.00    0.0      0.05    6.0   1.00   4.80 ms
03:10:01  sda (8-0)     0%    0.00    0.0      0.06    5.9   1.00   5.44 ms
03:20:01  sda (8-0)     0%    0.00    0.0      0.07    6.2   1.02   5.20 ms
03:30:01  sda (8-0)     0%    0.00    0.0      0.05    6.0   1.00   5.73 ms
03:40:01  sda (8-0)     0%    0.00    0.0      0.06    5.9   1.00   5.44 ms
03:50:01  sda (8-0)     0%    0.00    0.0      0.05    6.0   1.00   5.07 ms
04:00:01  sda (8-0)     0%    0.00    0.0      0.05    6.0   1.00   4.80 ms
04:10:01  sda (8-0)     0%    0.00    0.0      0.06    5.8   1.00   5.22 ms
04:20:01  sda (8-0)     0%    0.00    0.0      0.06    5.9   1.00   5.89 ms
04:30:01  sda (8-0)     0%    0.00    0.0      0.05    6.0   1.00   5.47 ms
04:40:01  sda (8-0)     0%    0.00    0.0      0.06    5.9   1.00   5.56 ms
04:50:01  sda (8-0)     0%    0.00    0.0      0.05    6.0   1.00   6.00 ms
05:00:01  sda (8-0)     0%    0.00    0.0      0.05    6.0   1.00   5.73 ms
05:10:01  sda (8-0)     0%    0.00    4.0      0.20    5.8   1.01   5.32 ms
05:20:01  sda (8-0)     0%    0.00    0.0      0.08    5.7   1.00   5.22 ms
05:30:01  sda (8-0)     0%    0.00    0.0      0.38    6.2   1.06   5.98 ms
